Date,Confirmed,Estimate (30% increase/day),1.3
2020-03-01,74,74,
2020-03-02,98,96,
2020-03-03,118,125,
2020-03-04,149,163,
2020-03-05,217,211,
2020-03-06,262,275,
2020-03-07,402,357,
2020-03-08,518,464,
2020-03-09,583,604,
2020-03-10,959,785,
2020-03-11,1281,"1,020",
2020-03-12,1663,"1,326",
2020-03-13,2179,"1,724",
2020-03-14,2727,"2,241",
2020-03-15,3499,"2,914",
2020-03-16,4632,"3,788",
2020-03-17,,"4,924",
2020-03-18,,"6,401",
2020-03-19,,"8,322",
2020-03-20,,"10,818",
2020-03-21,,"14,064",
2020-03-22,,"18,283",
2020-03-23,,"23,768",
2020-03-24,,"30,898",
2020-03-25,,"40,167",
2020-03-26,,"52,217",
2020-03-27,,"67,883",
2020-03-28,,"88,247",
2020-03-29,,"114,722",
2020-03-30,,"149,138",
2020-03-31,,"193,880",